theatre name,streetAddress,addressLocality,addressRegion,postalCode,Year Closed,Year Demolished,Theatre ID,Capacity
Civic Auditorium,135 W. San Carlos St.,"San Jose, CA",,,,,6399,3060.0
New Locust Theatre,,,,,,,5562,
Garden of Stars Expo ‘67,,"Montreal, Canada",,,,,6755,
Westbury Music Fair,,"Westbury, NY",,,,,5575,
George Abbott Theatre,152 W. 54th St.,New York,NY,,,1970.0,7208,1400.0
Palace West Theatre,,"Phoenix, AZ",,,,,5582,
Mechanic Theatre,25 Hopkins Plaza,"Baltimore, MD",,,,,5585,1600.0
Bucks County Playhouse,70 S. Main St.,"New Hope, PA",,,,,5573,
George Abbott Theatre,152 W. 54th St.,New York,NY,,,1970.0,5003,1400.0
Eden Theatre,189 Second Ave at 12th St.,New York,NY,,,,7216,
Edison Theatre,240 W. 47th St.,New York,NY,,,,7136,
Playhouse Theatre,359 West 48th St.,New York,NY,10019,,,7900,
Stairway Theatre,"235 W. 46th St., Basement",New York,NY,,,,7179,
Painters Mill Music Fair,,"Owing Mills, MD",,,,,5574,
Circle in the Square (Broadway),1633 Broadway at 50th St.,New York,NY,,,,5230,840.0
Oakland Coliseum,,"Oakland, CA",,,,,5563,50000.0
Uris Theatre,222 W. 51st St.,New York,NY,10019,,,7068,1935.0
Studio Arena Theatre,710 Main St.,"Buffalo, NY",,,,,6324,637.0
Minskoff Theatre,200 W. 45th St.,New York,NY,10036,,,7393,1710.0
Forum Theatre,5620 S. Harlem Ave.,Chicago,IL,,,,5165,
Harkness Theatre,1887 Broadway at 62nd St.,New York,NY,,,1977.0,5542,1265.0
William Paterson College Theatre,,"Wayne, NJ",,,,,6315,
Mitzi E. Newhouse Theatre,150 West 65th St. at Broadway,New York,NY,,,,5056,299.0
Walnut Street Theatre,,Philadelphia,PA,,,,5871,1052.0
Kennedy Center [Opera House],2700 F Street,Washington,DC,20566,,,5559,2318.0
Blackstone Theatre,,,,,,,5586,
Cohoes Musical Hall,,Cohoes,NY,,,,5556,
Ford's Theatre,"511 10th Street, NW",Washington,DC,,,,6405,
Wilbur Theatre,264 Tremont Street,Boston,MA,,,,5557,1200.0
New Apollo Theatre,223 W. 42nd St.,New York,NY,,,1996.0,7133,1200.0
22 Steps,200 W. 48th St.,New York,NY,,,,7333,499.0
Trafalgar Theatre,208 W. 41st St.,New York,NY,10036,,,7048,1232.0
Kennedy Center [Eisenhower Theatre],"2700 F Street, NW",Washington,DC,20566,,,5292,
American Shakespeare Theatre,,,,,,,5578,
Northstage Theatre,,"Glen Cove, NY",,,,,6401,
Royal Poinciana Playhouse,70 Royal Poinciana Plaza,Palm Beach,FL,,,,6088,852.0
Princess Theatre,200 W. 48th St.,New York,NY,,,,7334,499.0
Kreeger Theatre,,Washington,DC,,,,5445,514.0
Rialto Theatre,1481 Broadway,New York,NY,,,1998.0,5544,1960.0
Nederlander Theatre,208 W. 41st St.,New York,NY,10036,,,7047,1235.0
Town Hall,123 West 43rd St.,New York,NY,,,,5817,
McCarter Theatre [Mainstage],,Princeton,NJ,,,,6080,1100.0
Virginia Theatre,245 W. 52nd St.,New York,NY,10019,,,7020,1222.0
Xenon,124 W. 43rd St.,New York,NY,,2004.0,,7288,635.0
Music Center Pavilion,,Los Angeles,CA,,,,6086,
Gershwin Theatre,222 West 51st St.,New York,NY,,,,5035,1933.0
Latin Quarter,200 W. 48th St.,New York,NY,,,,6102,
Jack Lawrence Theatre,359 W. 48th St.,New York,NY,,,,6220,400.0
Neil Simon Theatre,250 W. 52nd St.,New York,NY,10019,,,6985,1467.0
Music Hall,,"Tarrytown, NY",,,,,6507,
Warner Theatre,513 13th Street NW,Washington,DC,20004,,,7698,
Goodspeed Opera House,"PO Box A, 6 Main Street",East Haddam,CT,06423,,,5310,398.0
Marquis Theatre,1535 Broadway,New York,NY,10036,,,7040,1612.0
La Jolla Playhouse,La Jolla Village Drive & Torrey Pines Road,"La Jolla, CA",,,,,5313,
Royal Shakespeare Theatre,,"Stratford Upon Avon, England",,,,,6084,1412.0
Bluma Appel Theatre [St. Lawrence Centre for the Arts],27 Front Street East,Toronto,,,,,6406,876.0
Richard Rodgers Theatre,226 W. 46th St.,New York,NY,10036,,,6994,1400.0
Paper Mill Playhouse,22 Brookside Drive,Milburn,NJ,07041,,,5290,1200.0
Kit Kat Klub,124 W. 43rd St.,New York,NY,,2004.0,,7289,635.0
Ford Center for the Performing Arts,213 W. 42nd St.,New York,NY,10036,,,7003,1829.0
Guthrie Theatre,725 Vineland Place,"Minneapolis, MN",,,,,6599,
Cadillac Palace Theatre,151 West Randolph Street,Chicago,IL,,,,6044,2500.0
American Airlines Theatre,229 W. 42nd St.,New York,NY,,,,5013,740.0
Lincoln Center,417 W. Magnolia,Fort Collins,CO,80521,,,8280,
Old Globe Theatre,1363 Old Globe Way,San Diego,CA,92101,,,5476,
Al Hirschfeld Theatre,302 W. 45th St.,New York,NY,,,,5007,1424.0
Studio 54,254 West 54th St.,New York,NY,,,,5132,1006.0
Hilton Theatre,213 West 42nd St.,New York,NY,,,,6025,1839.0
Golden Gate Theatre,1 Taylor Street,San Francisco,CA,,,,6032,2400.0
Orpheum Theatre,910 Hennepin Avenue,Minneapolis,MN,55403,,,6043,
August Wilson Theatre,245 W. 52nd St.,New York,NY,10019,,,6696,1228.0
Princess of Wales Theatre,"300 King Street West Toronto, ON M5V 1J2, Canada",Toronto,,,,,5506,
Bernard B. Jacobs Theatre,242 West 45th St.,New York,NY,,,,5934,1078.0
Gerald Schoenfeld Theatre,236 West 45th St.,New York,NY,,,,5933,1079.0
Orpheum Theatre,126 Second Avenue,New York,NY,10003,,,7812,347.0
Paramount Theatre,2025 Broadway,"Oakland, CA",,,,,5822,
Samuel J. Friedman Theatre,261 W. 47th St.,New York,NY,,,,6984,650.0
Stephen Sondheim Theatre,124 W. 43rd St.,New York,NY,10036,,,8051,1055.0
Foxwoods Theatre,213 W. 42nd St.,New York,NY,10036,,,8150,1829.0
Durham Performing Arts Center,The American Tobacco District 123 Vivian Street,Durham,NC,27701,,,7738,
